time,value
2024-09-02T01:33:11.964025444Z,47.212501525878906
2024-09-02T01:33:13.003242667Z,47.8125
2024-09-02T01:33:14.052805416Z,47.51250076293945
2024-09-02T01:33:15.018117946Z,47.64375305175781
2024-09-02T01:33:16.263508803Z,47.75625228881836
2024-09-02T01:33:17.193975027Z,47.51250076293945
2024-09-02T01:33:17.999257552Z,47.587501525878906
2024-09-02T01:33:19.012416498Z,47.64375305175781
2024-09-02T01:33:20.414170526Z,47.75625228881836
2024-09-02T01:33:21.311686584Z,47.75625228881836
2024-09-02T01:33:22.32278155Z,47.51250076293945
2024-09-02T01:33:23.319431646Z,46.85625076293945
2024-09-02T01:33:24.3390276Z,47.51250076293945
2024-09-02T01:33:25.743319454Z,47.75625228881836
2024-09-02T01:33:26.319084444Z,47.45625305175781
2024-09-02T01:33:27.365188677Z,47.51250076293945
2024-09-02T01:34:36.637140807Z,47.75625228881836
2024-09-02T01:35:36.592581285Z,47.75625228881836
2024-09-02T01:36:40.928600356Z,47.8125
2024-09-02T01:37:41.277052402Z,35.45625305175781
2024-09-02T01:38:40.956849502Z,47.94375228881836
2024-09-02T01:39:40.980562501Z,47.88750076293945
2024-09-02T01:40:40.972732514Z,50.343753814697266
2024-09-02T01:45:11.446806774Z,47.70000076293945
2024-09-02T01:46:32.22077544Z,37.14375305175781
2024-09-02T02:14:58.826043935Z,25.687501907348633
2024-09-02T02:15:58.86616144Z,14.512500762939453
2024-09-02T02:16:58.897239656Z,19.556251525878906
2024-09-02T02:17:58.897487687Z,28.856250762939453
2024-09-02T02:21:00.760718073Z,31.387500762939453
2024-09-02T02:22:00.745250615Z,33.1875
2024-09-02T02:23:00.761268407Z,31.387500762939453
2024-09-02T02:24:00.805922833Z,31.256250381469727
2024-09-02T02:25:00.794677953Z,24.900001525878906
2024-09-02T02:26:00.823735589Z,20.15625
2024-09-02T02:27:00.813207432Z,38.587501525878906
2024-09-02T02:28:00.794567967Z,30.412500381469727
2024-09-02T02:31:02.797105392Z,23.8125
2024-09-02T02:32:02.814645063Z,20.287500381469727
2024-09-02T02:33:02.788922215Z,25.012500762939453
2024-09-02T02:34:02.911952362Z,18.900001525878906
2024-09-02T02:35:02.917923145Z,20.34375
2024-09-02T02:36:02.833297357Z,22.256250381469727
2024-09-02T02:37:03.639456456Z,16.98750114440918
2024-09-02T02:39:04.676660104Z,40.61250305175781
2024-09-02T02:40:04.678416087Z,30.11250114440918
2024-09-02T02:42:33.799693071Z,43.14375305175781
2024-09-02T02:43:33.79598916Z,32.15625
2024-09-02T02:44:52.25585187Z,36.1875
2024-09-02T02:50:14.742626859Z,26.587501525878906
